date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,visibility,vapor_pressure_deficit,city
2025-07-09,58.69583333333333,135.79166666666666,741.5416666666666,44.8375,33.02916666666667,94.20833333333333,154.54166666666666,29.962500000000002,77.70833333333333,25.483333333333334,36.42916666666667,1.7666666666666666,0.0,99.625,4.316666666666666,240.41666666666666,22907.5,0.9983333333333334,Delhi
2025-07-10,52.79583333333333,61.5625,799.375,49.70416666666667,36.35,62.5,150.20833333333334,27.8,84.875,24.933333333333334,33.8375,0.5125000000000001,0.0,99.04166666666667,4.391666666666667,149.20833333333334,22538.333333333332,0.5895833333333333,Delhi
2025-07-11,69.64999999999999,76.29583333333333,1122.1666666666667,59.85833333333333,39.72083333333333,72.41666666666667,150.5,29.1125,82.83333333333333,25.733333333333334,35.87916666666667,0.7208333333333333,0.0,95.83333333333333,3.0124999999999997,162.25,23967.5,0.7458333333333332,Delhi
2025-07-12,79.71666666666667,93.47083333333335,993.0,45.85833333333333,41.329166666666666,119.375,174.20833333333334,29.829166666666666,79.58333333333333,25.662499999999998,36.74583333333333,1.1208333333333333,0.0,94.45833333333333,2.2125,130.875,24140.0,0.94,Delhi
2025-07-13,71.0625,78.01666666666667,1122.0833333333333,50.291666666666664,28.616666666666664,72.70833333333333,164.91666666666666,29.166666666666668,83.83333333333333,26.054166666666664,35.875,0.7875,0.0,94.79166666666667,5.208333333333333,88.16666666666667,22939.166666666668,0.6841666666666667,Delhi
2025-07-14,30.054166666666664,34.67916666666667,564.9583333333334,16.408333333333335,13.9375,103.04166666666667,107.33333333333333,28.666666666666668,83.04166666666667,25.391666666666666,34.137499999999996,1.0250000000000001,0.0,97.375,10.383333333333333,97.54166666666667,23697.5,0.7029166666666667,Delhi
2025-07-15,31.541666666666668,63.85,458.375,19.579166666666666,17.083333333333332,87.5,88.375,28.566666666666666,82.54166666666667,25.170833333333334,33.800000000000004,0.4166666666666667,0.0,95.54166666666667,11.129166666666668,127.91666666666667,24140.0,0.7279166666666667,Delhi
2025-07-16,48.62916666666666,80.33749999999999,561.125,26.991666666666664,22.150000000000002,102.70833333333333,115.5,28.575,86.375,25.983333333333334,34.97083333333333,1.3291666666666666,0.0,96.54166666666667,6.754166666666666,136.66666666666666,22752.5,0.5691666666666667,Delhi
2025-07-17,48.69583333333333,68.37916666666666,763.0,29.462500000000002,23.758333333333336,94.5,134.08333333333334,29.712500000000002,78.16666666666667,25.325,35.80416666666667,0.25,0.0,88.58333333333333,5.883333333333333,99.79166666666667,23195.0,0.96375,Delhi
2025-07-18,41.079166666666666,59.9375,636.1666666666666,17.120833333333334,15.6875,99.66666666666667,140.54166666666666,29.46666666666667,77.29166666666667,24.933333333333334,34.675000000000004,0.05833333333333333,0.0,92.625,10.120833333333334,72.45833333333333,23690.0,0.9695833333333334,Delhi
